ID	Country	IsolateYear	Subtype
B.FR.1983.IIIB_LAI.LAI.A04321	FR	1983	B
B.JP.-.KI_560.KI_560.AB873942	JP	-	B
01_AE.VN.2009.09HT0038PRRT.-.AB895317	VN	2009	01_AE
B.US.-.33C.-.AF072959	US	-	B
B.IT.-.163.-.AF252022	IT	-	B
01_AE.CZ.2000.86385PL1.86385.AY694313	CZ	2000	01_AE
01_AE.CZ.-.96768PL1.96768.DQ975082	CZ	-	01_AE
01_AE.CZ.-.88680PL1.88680.DQ975144	CZ	-	01_AE
B.CA.-.BCCFE_PRRT_1870.1870.EF369180	CA	-	B
B.-.2002.02_117381.-.EU606534	US	2002	B
B.-.2002.02_117653.-.EU606559	US	2002	B
B.-.2002.02_117734.-.EU606585	US	2002	B
B.-.2002.02_120908.-.EU607090	US	2002	B
B.-.2002.02_124679.-.EU607724	US	2002	B
B.-.2002.02_126561.-.EU608001	US	2002	B
B.-.2002.02_128386.-.EU608324	US	2002	B
B.-.2002.02_129994.-.EU608603	US	2002	B
B.-.2002.02_130744.-.EU608747	US	2002	B
B.-.2002.02_134447.-.EU609449	US	2002	B
B.-.2002.02_135605.-.EU609671	US	2002	B
B.-.2002.02_137362.-.EU609952	US	2002	B
B.-.2002.02_137908.-.EU610055	US	2002	B
B.-.2003.03_102062.-.EU610494	US	2003	B
B.-.2003.03_102465.-.EU610595	US	2003	B
B.-.2003.03_103823.-.EU610872	US	2003	B
B.-.2003.03_104120.-.EU610927	US	2003	B
B.-.2003.03_114830.-.EU612858	US	2003	B
B.-.2003.03_115923.-.EU613032	US	2003	B
B.-.2003.03_117776.-.EU613438	US	2003	B
B.-.2003.03_117817.-.EU613457	US	2003	B
B.-.2003.03_118243.-.EU613567	US	2003	B
B.-.2003.03_119401.-.EU613834	US	2003	B
B.-.2003.03_119847.-.EU613914	US	2003	B
B.-.2003.03_122688.-.EU614467	US	2003	B
B.-.2003.03_123125.-.EU614549	US	2003	B
B.-.2003.03_129731.-.EU615813	US	2003	B
01_AE.CZ.-.104900PL1.-.EU672725	CZ	-	01_AE
01_AE.VN.2007.07VNHPA111.PA111.FJ007154	VN	2007	01_AE
01_AE.VN.2007.07VNHPA149.PA149.FJ007171	VN	2007	01_AE
01_AE.VN.1998.98VNBG6.-.FJ185230	VN	1998	01_AE
01_AE.VN.1998.98VNBG7.-.FJ185231	VN	1998	01_AE
B.US.-.L4571TOB8U.L4571.GQ371990	US	-	B
B.CH.1996.4796609.-.GQ848127	CH	1996	B
B.CH.1996.16005294.-.GU344477	CH	1996	B
B.CH.1996.18237908.-.GU344554	CH	1996	B
B.CH.1997.21128315.-.GU344644	CH	1997	B
B.CH.1997.21130424.-.GU344645	CH	1997	B
B.BR.2005.BR05SP543.-.HM024946	BR	2005	B
B.ES.2003.244HDO032_ART.-.HM460462	ES	2003	B
01_AE.VN.2009.09_VL986U.-.HQ852914	VN	2009	01_AE
B.GB.1998.91520.91520.JN100883	GB	1998	B
B.NL.-.MSM052.MSM052.JQ650647	NL	-	B
B.NL.-.MSM208.MSM208.JQ650803	NL	-	B
01_AE.VN.2006.HCMC_HIV_103.-.JN786380	VN	2006	01_AE
01_AE.VN.2006.HCMC_HIV_262.-.JN786509	VN	2006	01_AE
01_AE.VN.2005.HCMC_HIV_300.-.JN786537	VN	2005	01_AE
01_AE.VN.2005.HCMC_HIV_303.-.JN786540	VN	2005	01_AE
01_AE.VN.2007.HCMC_HIV_395.-.JN786594	VN	2007	01_AE
B.US.2001.19132.-.JX160724	US	2001	B
01_AE.CZ.2007.EHR-21254.-.JX299891	CZ	2007	01_AE
B.AU.2000.2072019.2072019.KC238042	AU	2000	B
01_AE.CZ.2006.EHR-77359.-.JX300869	CZ	2006	01_AE
B.ES.2003.115042.-.KC340167	ES	2003	B
B.ES.2003.308702.-.KC340329	ES	2003	B
B.CN.2011.13.CN.iso109.iso109.KC924507	CN	2011	B
B.US.2003.Wa03252003.-.KC814238	US	2003	B
B.US.2003.Ya08062003.-.KC814240	US	2003	B
B.US.1979.NYC12.NYC12.KJ704789	US	1979	B
B.US.1979.NYC7.NYC7.KJ704791	US	1979	B
B.US.1979.NYC4.NYC4.KJ704792	US	1979	B
B.US.1979.NYC1.NYC1.KJ704793	US	1979	B
B.US.1978.SF20.SF20.KJ704794	US	1978	B
B.US.1978.SF4.SF4.KJ704795	US	1978	B
B.US.2009.SD_PIRC_991.-.KJ722963	US	2009	B
