ID1,ID2,Distance
90735,138924,0.013582
4122,79991,0.0149371
4122,24966,0.0149583
75747,23899,0.0101785
39208,175039,0.00935093
75747,16333,0.00846897
4122,23891,0.0109355
4122,16206,0.0149941
39208,197627,0.0145166
39208,57555,0.00253641
39208,175029,0.0136496
75747,4498,0.0144797
39208,101674,0.0102079
39208,175397,0.0145149
39208,30269,0.00169022
56114,82273,0.0145617
56114,82264,0.0110918
39208,39126,0.00765797
39208,112994,0.0110762
39208,70703,0.0102104
39208,112923,0.0119241
39208,112996,0.0145242
57355,16453,0.0127204
56115,23863,0.00846861
56115,175892,0.00506894
56115,18326,0.00933515
56115,27806,0.00932999
56115,22087,0.011906
56115,14244,0.00761888
101585,23823,0.0144029
56119,38093,0.00506097
57385,70678,0.0127506
101684,30131,0.00675409
57385,23907,0.0110347
57385,37946,0.00845906
57385,42141,0.00421719
57385,25180,0.00931438
57385,42026,0.0101773
57385,56131,0.00846543
57385,39203,0.0101725
57385,70693,0.000841434
57385,27766,0.00761334
57385,61565,0.0127516
57385,42157,0.0101772
57385,57468,0.00676723
57385,57474,0.0127514
26351,22138,0.0104061
57385,27964,0.0119027
57385,27741,0.0118873
57385,61705,0
57385,80030,0.0119002
38002,61637,0.0145483
38002,42012,0.00591693
38002,57450,0.0127609
38002,21003,0.00934982
38002,21029,0.00934982
38002,18357,0.0101959
38002,21091,0.0110612
38002,25574,0.0145249
38002,56017,0.011895
38002,18416,0.0102155
38002,90529,0.0136772
38002,30259,0.0136491
38087,57514,0.0124022
38087,70635,0.0144043
57425,112942,0.00677302
38087,25012,0.0135568
38087,27761,0.0135551
39177,56127,0.013648
39177,56142,0.0119197
39177,57315,0.0136062
27865,175768,0.0139354
57428,70604,0.000840902
39177,55977,0.0136543
16395,17627,0.0127053
39177,16194,0.00933429
39177,23784,0.00847451
39177,35614,0.012791
27865,42104,0.0118916
27865,38004,0.0118969
27865,21117,0.00990064
101641,55969,0.0119452
27865,25665,0.00790875
57433,16519,0.012696
101641,27825,0.0118961
101641,37975,0.0144748
16471,30083,0.0144149
101641,37971,0.0110216
61568,101593,0.00507314
27752,7998,0.00507258
112832,175157,0.0145005
27752,30133,0.00587201
57472,30231,0.0144121
112832,101625,0.0109866
30075,42172,0.0101371
16481,175713,0.00845908
42174,39282,0.00253054
42174,61638,0.00336832
42174,70456,0.00252581
42174,75720,0.00421194
101643,57547,0.0109631
42174,56140,0.0016865
42174,61576,0.00762551
42174,37899,0.0025258
30075,22114,0.0135195
57530,25576,0.00335548
42174,35529,0.0016817
42174,75707,0.0042141
57530,42676,0.0143876
42174,26252,0.0016817
42174,61476,0.00506412
42174,27823,0.0025258
57530,35648,0.00251309
42174,119730,0.0127619
56007,90515,0.00675475
61601,61620,0.00224719
56007,42166,0.00337111
56007,55891,0.00591046
56007,90471,0.00934587
56007,39153,0.00762881
56007,82181,0.00506103
112895,82293,0.00337825
27797,101532,0.013593
112895,112964,0.00422106
112895,61522,0.0016824
112895,57333,0.000841455
112895,70487,0.00252752
56036,101610,0.00421421
56036,70520,0.00336668
56036,80142,0.00421421
56036,70518,0.00336686
56036,75761,0.00336837
30279,35599,0.00987521
56036,55881,0.00168254
56036,61495,0.00336686
56036,90554,0.00506002
112914,90726,0.00846077
61621,70741,0.00420939
23827,26365,0.0109759
61621,16299,0.0084423
30279,35675,0.00843758
57345,75708,0.00505857
61621,23846,0.00842081
61621,57445,0.0135449
18380,70513,0.00335966
57345,56112,0.00846384
56079,70477,0.00678505
101801,56096,0.00423518
57345,22048,0.00336834
18380,70719,0.00167598
61677,57478,0.00083598
57345,61524,0.014434
57345,61534,0.0118782
27967,82187,0.0118914
57448,26260,0.0144291
90508,70674,0.0140989
27967,27897,0.00492037
70614,23907,0.0136033
70614,37946,0.0127474
70614,42141,0.0118967
70614,25180,0.0136148
38009,175099,0.012745
70614,42026,0.0101709
70614,197691,0.0144527
70614,39203,0.0145099
70614,42157,0.0136149
112860,42638,0.00251308
38009,175693,0.00926236
38009,37958,0.00083668
57463,70501,0.00677932
119621,22227,0.00337198
119621,90701,0.010172
112860,56050,0.00841844
57463,57411,0.00167672
57514,70635,0.0115445
70666,82222,0.0076262
112863,75688,0.0128551
57514,25012,0.00560886
112863,80117,0.0136488
57465,75853,0.0144504
57465,112895,0.0016824
57514,25575,0.0140687
57514,27761,0.00898978
