ID1,ID2,Distance
4122,B.FR.1983.IIIB_LAI.LAI.A04321,0.012963
4122,B.JP.-.KI_560.KI_560.AB873942,0.0119278
90476,01_AE.VN.2009.09HT0038PRRT.-.AB895317,0.0135389
4122,B.US.-.33C.-.AF072959,0.0119802
4122,B.IT.-.163.-.AF252022,0.00994158
90476,01_AE.CZ.2000.86385PL1.86385.AY694313,0.0149466
90476,01_AE.CZ.-.96768PL1.96768.DQ975082,0.0135115
90476,01_AE.CZ.-.88680PL1.88680.DQ975144,0.0135286
4122,B.CA.-.BCCFE_PRRT_1870.1870.EF369180,0.0149695
4122,B.-.2002.02_117381.-.EU606534,0.0146198
4122,B.-.2002.02_117653.-.EU606559,0.0139749
4122,B.-.2002.02_117734.-.EU606585,0.0119485
4122,B.-.2002.02_120908.-.EU607090,0.0149448
4122,B.-.2002.02_124679.-.EU607724,0.0149871
4122,B.-.2002.02_126561.-.EU608001,0.0119409
4122,B.-.2002.02_128386.-.EU608324,0.0149446
4122,B.-.2002.02_129994.-.EU608603,0.0109305
4122,B.-.2002.02_130744.-.EU608747,0.0129635
4122,B.-.2002.02_134447.-.EU609449,0.0149959
4122,B.-.2002.02_135605.-.EU609671,0.0129628
4122,B.-.2002.02_137362.-.EU609952,0.0119319
4122,B.-.2002.02_137908.-.EU610055,0.0115908
4122,B.-.2003.03_102062.-.EU610494,0.0149446
4122,B.-.2003.03_102465.-.EU610595,0.0146305
4122,B.-.2003.03_103823.-.EU610872,0.0126047
4122,B.-.2003.03_104120.-.EU610927,0.0149719
4122,B.-.2003.03_114830.-.EU612858,0.0139743
4122,B.-.2003.03_115923.-.EU613032,0.0139741
4122,B.-.2003.03_117776.-.EU613438,0.0109325
4122,B.-.2003.03_117817.-.EU613457,0.0149577
4122,B.-.2003.03_118243.-.EU613567,0.0149914
4122,B.-.2003.03_119401.-.EU613834,0.0149875
4122,B.-.2003.03_119847.-.EU613914,0.0109744
4122,B.-.2003.03_122688.-.EU614467,0.0139488
4122,B.-.2003.03_123125.-.EU614549,0.0149594
4122,B.-.2003.03_129731.-.EU615813,0.0149728
90476,01_AE.CZ.-.104900PL1.-.EU672725,0.0143765
90476,01_AE.VN.2007.07VNHPA111.PA111.FJ007154,0.0139974
90476,01_AE.VN.2007.07VNHPA149.PA149.FJ007171,0.0148789
90476,01_AE.VN.1998.98VNBG6.-.FJ185230,0.014391
90476,01_AE.VN.1998.98VNBG7.-.FJ185231,0.0135429
39208,B.US.-.L4571TOB8U.L4571.GQ371990,0.00764949
4122,B.CH.1996.4796609.-.GQ848127,0.0149869
4122,B.CH.1996.16005294.-.GU344477,0.0139492
4122,B.CH.1996.18237908.-.GU344554,0.0129528
4122,B.CH.1997.21128315.-.GU344644,0.0149757
4122,B.CH.1997.21130424.-.GU344645,0.0149718
4122,B.BR.2005.BR05SP543.-.HM024946,0.0149791
4122,B.ES.2003.244HDO032_ART.-.HM460462,0.0149913
90476,01_AE.VN.2009.09_VL986U.-.HQ852914,0.01418
4122,B.GB.1998.91520.91520.JN100883,0.01497
4122,B.NL.-.MSM052.MSM052.JQ650647,0.0139946
4122,B.NL.-.MSM208.MSM208.JQ650803,0.0149589
90476,01_AE.VN.2006.HCMC_HIV_103.-.JN786380,0.0135632
90476,01_AE.VN.2006.HCMC_HIV_262.-.JN786509,0.0144452
90476,01_AE.VN.2005.HCMC_HIV_300.-.JN786537,0.0109932
90476,01_AE.VN.2005.HCMC_HIV_303.-.JN786540,0.0144073
90476,01_AE.VN.2007.HCMC_HIV_395.-.JN786594,0.0101341
4122,B.US.2001.19132.-.JX160724,0.0149894
90476,01_AE.CZ.2007.EHR-21254.-.JX299891,0.0146282
4122,B.AU.2000.2072019.2072019.KC238042,0.0149897
90476,01_AE.CZ.2006.EHR-77359.-.JX300869,0.0136311
4122,B.ES.2003.115042.-.KC340167,0.0149888
4122,B.ES.2003.308702.-.KC340329,0.0129714
4122,B.CN.2011.13.CN.iso109.iso109.KC924507,0.0139737
56114,B.US.2003.Wa03252003.-.KC814238,0.0145251
56114,B.US.2003.Ya08062003.-.KC814240,0.013651
4122,B.US.1979.NYC12.NYC12.KJ704789,0.0149874
4122,B.US.1979.NYC7.NYC7.KJ704791,0.0139593
4122,B.US.1979.NYC4.NYC4.KJ704792,0.0149586
4122,B.US.1979.NYC1.NYC1.KJ704793,0.0139946
4122,B.US.1978.SF20.SF20.KJ704794,0.0119401
4122,B.US.1978.SF4.SF4.KJ704795,0.0139606
4122,B.US.2009.SD_PIRC_991.-.KJ722963,0.0109452
4122,B.US.2008.PARC10018-DNA-BL.PARC10018.KJ769521,0.0129888
4122,B.US.2008.PARC10025-DNA-BL.PARC10025.KJ769523,0.0129525
56114,B.US.2011.SD_PIRC_30682.-.KJ723267,0.00506533
4122,B.CA.1985.PRRT_2.-.KT167848,0.0149709
4122,B.US.1987.PRRT_9.-.KT167855,0.0146093
4122,B.US.1988.PRRT_17.-.KT167863,0.012967
4122,B.US.1988.PRRT_40.-.KT167886,0.014983
4122,B.US.1988.PRRT_44.-.KT167890,0.0126205
4122,B.US.1987.PRRT_45.-.KT167891,0.0149908
4122,B.US.1987.PRRT_48.-.KT167894,0.0149594
4122,B.US.1987.PRRT_53.-.KT167899,0.0129526
4122,B.US.1988.PRRT_60.-.KT167906,0.012948
4122,B.US.1987.PRRT_66.-.KT167912,0.01394
4122,B.US.1988.PRRT_83.-.KT167929,0.0129559
4122,B.US.1988.PRRT_85.-.KT167931,0.0149884
4122,B.US.1987.PRRT_158.-.KT168004,0.0129524
4122,B.US.1984.PRRT_167.-.KT168013,0.0119566
4122,B.US.1984.PRRT_170.-.KT168016,0.0119486
4122,B.US.1984.PRRT_171.-.KT168017,0.0129889
4122,B.US.1984.PRRT_172.-.KT168018,0.0119316
4122,B.US.1984.PRRT_173.-.KT168019,0.0129554
4122,B.US.1984.PRRT_174.-.KT168020,0.0109451
4122,B.US.1984.PRRT_175.-.KT168021,0.0119562
4122,B.US.1984.PRRT_176.-.KT168022,0.0149581
4122,B.US.1984.PRRT_178.-.KT168024,0.0139462
4122,B.US.1984.PRRT_182.-.KT168028,0.0119478
4122,B.US.1984.PRRT_183.-.KT168029,0.0139496
4122,B.US.1984.PRRT_184.-.KT168030,0.0109531
4122,B.US.1984.PRRT_185.-.KT168031,0.0149785
4122,B.US.1984.PRRT_186.-.KT168032,0.0129634
4122,B.US.1984.PRRT_187.-.KT168033,0.0109529
4122,B.US.1984.PRRT_188.-.KT168034,0.0129891
4122,B.US.1984.PRRT_189.-.KT168035,0.0129731
4122,B.US.1985.PRRT_200.-.KT168046,0.0139906
4122,B.US.1986.PRRT_206.-.KT168052,0.0129458
4122,B.US.1985.PRRT_211.-.KT168057,0.0109459
4122,B.US.1985.PRRT_212.-.KT168058,0.0119442
4122,B.US.1985.PRRT_215.-.KT168061,0.0139742
4122,B.US.1985.PRRT_217.-.KT168063,0.0139669
4122,B.US.1986.PRRT_219.-.KT168065,0.0139596
4122,B.US.1985.PRRT_220.-.KT168066,0.0129913
4122,B.US.1985.PRRT_221.-.KT168067,0.014973
4122,B.US.1985.PRRT_235.-.KT168081,0.012973
4122,B.US.1985.PRRT_240.-.KT168086,0.0129632
4122,B.US.1980.PRRT_252.-.KT168098,0.0149869
4122,B.US.1979.PRRT_253.-.KT168099,0.0119698
4122,B.US.1980.PRRT_255.-.KT168101,0.0139777
4122,B.US.1981.PRRT_256.-.KT168102,0.0129477
4122,B.US.1980.PRRT_259.-.KT168105,0.0129631
4122,B.US.1981.PRRT_260.-.KT168106,0.0149722
4122,B.US.1980.PRRT_261.-.KT168107,0.0139458
4122,B.US.1980.PRRT_262.-.KT168108,0.0139602
4122,B.US.1980.PRRT_265.-.KT168111,0.0129636
4122,B.US.1984.PRRT_270.-.KT168116,0.0149892
4122,B.US.1984.PRRT_274.-.KT168120,0.0149749
4122,B.US.1984.PRRT_281.-.KT168127,0.0139456
4122,B.US.1985.PRRT_290.-.KT168136,0.012966
4122,B.US.1985.PRRT_293.-.KT168139,0.00894726
4122,B.US.1985.PRRT_298.-.KT168144,0.0149584
4122,B.US.1986.PRRT_303.-.KT168149,0.0129629
4122,B.US.1985.PRRT_311.-.KT168157,0.0140525
4122,B.US.1985.PRRT_312.-.KT168158,0.0149387
4122,B.CA.1985.PRRT_327.-.KT168173,0.0119694
4122,B.BR.2007.RenG15016.-.KT746044,0.0149722
4122,B.CH.1995.CH168.-.KX691989,0.0148965
4122,B.CH.1995.CH170.-.KX691992,0.014852
4122,B.CH.1995.CH237.-.KX692066,0.0139452
4122,B.CH.1995.CH290.-.KX692125,0.014649
4122,B.CH.1995.CH308.-.KX692145,0.0148966
4122,B.CH.1995.CH315.-.KX692153,0.0119487
39208,B.US.2006.435.-.KY035450,0.0102365
39208,B.US.2005.923_2.923.KY036255,0.0113533
4122,B.BR.2014.07BA140517.-.KY581418,0.013974
4122,B.US.2012.DC676_0120727_PR_RT.DC676.MF457043,0.0139611
4122,B.FR.1985.LW123.LW.U12055,0.0149903
56115,B.JP.2011.E11-50911135-1.E11-50911135.AB866243,0.0140446
14718,B.JP.2008.E08-50910751-1.E08-50910751.AB865938,0.0149485
56115,B.US.2005.05_132861.-.DQ832116,0.0084733
26247,B.US.-.33C.-.AF072959,0.0129146
56115,B.US.2000.10204203.10204203.EF136679,0.00591786
56115,B.US.2004.EDD62.-.EF195276,0.00930833
56115,B.US.2004.EII62.-.EF195307,0.00817716
4284,B.-.2002.02_125028.-.EU607765,0.0149622
4284,B.-.2003.03_129731.-.EU615813,0.0139686
14718,B.-.2003.03_124534.-.EU614803,0.0135794
56115,B.CA.2005.PHAC_854.-.HM469352,0.0136323
56115,B.US.2007.ARC_A87.-.JN697236,0.0119086
56115,B.US.2006.HIV_US_BID-V4503_2006.-.JQ403095,0.0136084
56115,B.CA.2006.PHAC07_259.-.JQ674767,0.0110387
14718,B.US.2008.PARC10064-RNA-BL.PARC10064.KJ769511,0.0126982
14718,B.US.1984.PRRT_189.-.KT168035,0.0109918
14718,B.DE.2005.05-01220.2840.KX465942,0.0136758
14728,B.JP.2003.C03_5555_5142_1.JP-B-2.AB640345,0.0148256
14728,B.US.-.33C.-.AF072959,0.0139073
14728,B.IT.-.163.-.AF252022,0.0143776
101585,B.US.2004.EDD62.-.EF195276,0.0113903
101585,B.US.2004.EII62.-.EF195307,0.00713644
26351,B.IT.-.163.-.AF252022,0.0146601
14728,B.US.2008.PARC10064-RNA-BL.PARC10064.KJ769511,0.0135315
26351,B.US.1985.PRRT_240.-.KT168086,0.0146434
57385,B.US.2005.05_132901.-.DQ832150,0.0110333
80134,B.US.1998.187.-.EU693715,0.0144265
16086,B.US.2008.PARC10064-RNA-BL.PARC10064.KJ769511,0.0144474
57415,B.IT.-.163.-.AF252022,0.0114866
38002,B.-.2003.03_121271.-.EU614171,0.00934982
16489,B.US.-.33C.-.AF072959,0.0128694
16489,B.IT.-.163.-.AF252022,0.0133801
38002,B.US.2008.PARC30001-DNA-BL.PARC30001.KJ769578,0.0127649
16489,B.CH.1996.18237908.-.GU344554,0.0144225
16489,B.US.2009.SD_PIRC_991.-.KJ722963,0.0144405
16489,B.US.1987.PRRT_45.-.KT167891,0.0144007
16489,B.US.1987.PRRT_53.-.KT167899,0.0135584
16489,B.US.1987.PRRT_157.-.KT168003,0.0120611
16489,B.US.1984.PRRT_170.-.KT168016,0.0141242
16489,B.US.1984.PRRT_189.-.KT168035,0.0118291
16489,B.US.1985.PRRT_202.-.KT168048,0.0135468
16489,B.US.1985.PRRT_211.-.KT168057,0.0135726
16489,B.US.1984.PRRT_281.-.KT168127,0.0135574
16489,B.US.1985.PRRT_293.-.KT168139,0.011846
16489,B.CH.1995.CH246.-.KX692076,0.0144222
16489,B.CH.1995.CH308.-.KX692145,0.0148368
27942,B.MX.2008.DE00M94LSO.-.KC168453,0.00927135
27942,B.MX.2008.M000M95GTD.-.KC169195,0.0126721
57428,B.-.2003.03_108684.-.EU611791,0.0118941
101643,B.-.2003.03_123630.-.EU614634,0.0058742
27967,B.US.2006.502_0717_LH04.502-0717.JF320521,0.00393291
82379,B.US.1999.NC4762_1999.4762.AY031422,0.0144517
57345,B.-.2003.03_101834.-.EU610438,0.0118643
17630,B.-.2003.03_103823.-.EU610872,0.0149871
17630,B.-.2003.03_110213.-.EU612032,0.0124264
57438,01_AE.US.2009.107_08JUN09.-.KJ598505,0.00934717
82379,B.-.2003.03_110354.-.EU612056,0.0144438
17630,B.US.1979.NYC12.NYC12.KJ704789,0.0143622
57345,B.GB.2013.UK_B_446.-.KX661599,0.0115789
17630,B.US.1988.PRRT_96.-.KT167942,0.0143289
17630,B.US.1984.PRRT_174.-.KT168020,0.014359
17630,B.US.1984.PRRT_179.-.KT168025,0.0143594
17630,B.US.1984.PRRT_180.-.KT168026,0.0124001
17630,B.US.1984.PRRT_185.-.KT168031,0.0114496
25637,B.JP.2006.F06-5112044-1.-.AB866680,0.0149624
57472,B.US.2006.PRRT_Acute_99.-.KJ869998,0.0101083
27907,B.US.-.33C.-.AF072959,0.0148835
57472,B.US.2006.689801.689801.KT124791,0.0101083
112837,B.US.2009.10268.-.JX160123,0.00843731
112837,B.US.2005.24675.-.JX161107,0.00504573
57448,B.US.1996.010-00132-2_24JAN96.132.KF729809,0.0135525
57448,B.US.1995.010-00446-1_30JUN95.-.KF729821,0.0135525
39113,B.US.-.33C.-.AF072959,0.0149062
61568,B.US.-.D8520TOB8U.D8520.GQ371832,0.0092758
21102,B.US.-.33C.-.AF072959,0.0145586
21102,B.IT.-.163.-.AF252022,0.0132077
21102,B.US.1999.NC4028_1999.4028.AY031023,0.0122459
21102,B.US.1999.NC5366_1999.5366.AY031920,0.0142011
21102,B.US.2000.NC6445_2000.6445.AY032398,0.00929875
57463,B.BR.-.IVDU046.IVDU046.DQ156275,0.0148023
21102,B.-.2002.02_119836.-.EU606901,0.0141845
21102,B.-.2002.02_122749.-.EU607395,0.0138316
21102,B.-.2003.03_113934.-.EU612660,0.0132135
21102,B.-.2003.03_114830.-.EU612858,0.0141867
27907,B.US.2005.1761_2.1761.KY037448,0.01433
30160,B.JP.-.patient_41.41.AB442240,0.0140916
30160,B.JP.2003.C03_5555_5142_1.JP-B-2.AB640345,0.0138643
30160,B.US.-.12C.-.AF072937,0.0128392
21102,B.ES.2003.308702.-.KC340329,0.0141872
30160,B.US.-.33C.-.AF072959,0.00888515
30160,B.IT.-.163.-.AF252022,0.0104934
30160,B.US.1997.NC800_1997.800.AY030429,0.014934
30160,B.US.2000.NC6474_2000.6474.AY032425,0.013544
21102,B.US.2009.SD_PIRC_991.-.KJ722963,0.0141871
30160,B.BR.-.IVDU046.IVDU046.DQ156275,0.0148678
30160,B.IT.-.1584A_3120.-.DQ369195,0.013561
30160,B.CH.2002.1429439.-.EF449907,0.0149688
30160,B.US.-.A384_00341.-.EF548504,0.013242
30160,B.DK.-.299.-.EF563229,0.0143913
101759,B.US.2009.SD_PIRC_60748.-.KJ723361,0.0107572
30160,B.-.2002.02_117734.-.EU606585,0.0135469
21102,B.US.1988.PRRT_44.-.KT167890,0.0138478
21102,B.US.1987.PRRT_45.-.KT167891,0.0141869
21102,B.US.1987.PRRT_53.-.KT167899,0.0141776
21102,B.US.1984.PRRT_182.-.KT168028,0.0141955
21102,B.US.1984.PRRT_183.-.KT168029,0.0131896
21102,B.US.1984.PRRT_189.-.KT168035,0.0122881
21102,B.US.1985.PRRT_293.-.KT168139,0.0142007
39113,B.CH.1995.CH231.-.KX692060,0.0137234
30160,B.-.2003.03_100057.-.EU610118,0.0143702
30160,B.-.2003.03_102389.-.EU610574,0.0132309
30160,B.-.2003.03_106631.-.EU611415,0.0135209
30160,B.-.2003.03_129731.-.EU615813,0.0126499
30160,B.CH.1995.14146448.-.GU344390,0.0136474
30160,B.CH.1996.14233869.-.GU344399,0.0136678
30160,B.CH.1997.15127203.-.GU344439,0.0148295
30160,B.CH.1996.18237908.-.GU344554,0.0143773
57463,B.CH.1995.CH308.-.KX692145,0.0125183
30160,B.ES.1995.TJM08011090.TJM08011090.HQ426810,0.0142713
42174,B.US.2009.478_8773_4.-.JN215176,0.00594052
30160,B.GB.2006.71882.71882.JN101254,0.0148403
30160,B.GB.2004.86103.86103.JN101389,0.0141399
30160,B.GB.2004.67226.67226.JN101839,0.0141038
30160,B.ES.2003.308702.-.KC340329,0.012142
57465,B.IT.-.163.-.AF252022,0.0133885
30160,B.US.1987.PID_24_Day_0_001.24.KF469926,0.0147524
30160,B.US.2001.ACTG_A5077_F05_plasma.F05.KJ468215,0.013849
30160,B.US.1978.SF20.SF20.KJ704794,0.0143927
30160,B.US.1978.SF4.SF4.KJ704795,0.0143814
30160,B.US.2008.PARC10025-DNA-BL.PARC10025.KJ769523,0.0141438
30160,B.US.1987.PRRT_5.-.KT167851,0.0118119
30160,B.US.1989.PRRT_18.-.KT167864,0.0136279
30160,B.US.1987.PRRT_63.-.KT167909,0.0143663
30160,B.US.1987.PRRT_66.-.KT167912,0.0143927
30160,B.US.1984.PRRT_167.-.KT168013,0.0135213
30160,B.US.1984.PRRT_170.-.KT168016,0.0143715
30160,B.US.1984.PRRT_173.-.KT168019,0.0143917
30160,B.US.1984.PRRT_174.-.KT168020,0.014393
30160,B.US.1984.PRRT_189.-.KT168035,0.0135161
30160,B.US.1985.PRRT_211.-.KT168057,0.0143926
30160,B.US.1985.PRRT_212.-.KT168058,0.0135289
30160,B.US.1985.PRRT_240.-.KT168086,0.0109893
30160,B.CA.1985.PRRT_327.-.KT168173,0.0143687
30160,B.AU.2000.R00267968P.-.KT229155,0.0143273
30160,B.AU.2000.R00364105G.-.KT229174,0.0143567
30160,B.CH.1992.CH105.-.KX691920,0.0102409
30160,B.CH.1994.CH136.-.KX691954,0.0125588
30160,B.CH.1994.CH140.-.KX691959,0.0148511
30160,B.CH.1995.CH159.-.KX691979,0.0148707
30160,B.CH.1995.CH167.-.KX691988,0.0125164
30160,B.CH.1995.CH168.-.KX691989,0.0148681
30160,B.CH.1995.CH174.-.KX691996,0.0136877
30160,B.CH.1995.CH175.-.KX691997,0.0136921
30160,B.CH.1995.CH178.-.KX692000,0.0148678
30160,B.CH.1995.CH206.-.KX692032,0.0148448
30160,B.CH.1995.CH231.-.KX692060,0.0102391
30160,B.CH.1995.CH286.-.KX692120,0.0136626
30160,B.CH.1991.CH74.-.KX692242,0.0148463
30160,B.CH.1992.CH91.-.KX692261,0.0148936
30160,B.US.2005.1761_2.1761.KY037448,0.0102133
42657,B.US.2006.13724.-.JX160376,0.0072928
30160,B.US.2012.DC676_0120727_PR_RT.DC676.MF457043,0.0128569
35492,B.US.-.33C.-.AF072959,0.0118731
35492,B.IT.-.163.-.AF252022,0.0143577
90508,B.US.2012.207_31MAY12.-.KJ598581,0.0141114
35492,B.-.2003.03_112308.-.EU612397,0.00759278
57465,B.CH.1995.CH308.-.KX692145,0.013688
35492,B.US.2008.PARC10025-DNA-BL.PARC10025.KJ769523,0.0141441
35492,B.US.1985.PRRT_293.-.KT168139,0.0135674
35492,B.CH.1994.CH136.-.KX691954,0.0148506
35492,B.CH.1995.CH174.-.KX691996,0.0148741
35492,B.US.2003.420.-.KY035430,0.0132999
35492,B.US.2005.1761_2.1761.KY037448,0.0133218
90551,B.CH.1996.18237908.-.GU344554,0.0144107
35492,B.US.2012.DC676_0120727_PR_RT.DC676.MF457043,0.0128287
37990,B.IT.-.163.-.AF252022,0.0143721
