ID1,ID2,Distance
38032,B.JP.-.patient_330.330.AB356111,0.0120764
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2007.H07-201106-1.-.AB867300,0.00944597
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2007.H07-201108-1.-.AB867302,0.00996041
B.JP.2007.C07-2069147-1.-.AB868138,B.JP.2007.C07-2069156-1.-.AB868147,0.000973588
B.JP.2008.F08-5112186-1.-.AB866817,B.JP.2009.F09-5112236-1.-.AB866867,0.00793098
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2007.H07-201128-1.-.AB867332,0.00792935
38032,B.JP.-.patient_103.103.AB356165,0.0135788
B.JP.2008.F08-5112186-1.-.AB866817,B.JP.2009.F09-5112243-1.-.AB866874,0.0116529
B.JP.2006.C06-51110394-1.-.AB864801,B.JP.2008.C08-51110759-1.-.AB865166,0.0129727
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2008.H08-201101-1.H08-201101.AB867340,0.00998455
38032,B.JP.-.patient_136.136.AB356187,0.0125602
B.JP.2008.F08-5112186-1.-.AB866817,B.JP.2009.F09-5112252-1.-.AB866883,0.0114518
B.JP.2006.06JP.GM1907KNG.GM1907KNG.AB735885,B.JP.2006.C06-20671907-1.-.AB864054,0.000441853
B.JP.2007.C07-2069147-1.-.AB868138,B.JP.2008.C08-2069095-1.-.AB868247,0.0137867
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2008.H08-201110-1.H08-201110.AB867347,0.00794216
38032,B.JP.-.patient_138.138.AB356189,0.0115718
B.JP.2008.F08-5112186-1.-.AB866817,B.JP.2009.F09-5112258-1.-.AB866889,0.0129153
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2008.H08-201129-1.H08-201129.AB867361,0.00993061
38032,B.JP.-.patient_140.140.AB356191,0.00952848
B.JP.2007.C07-2069147-1.-.AB868138,B.JP.2010.C10-2069041-1.C10-2069041.AB868580,0.0127551
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2009.H09-201106-1.H09-201106.AB867380,0.00994158
38032,B.JP.-.patient_150.150.AB356199,0.00851213
B.JP.2007.C07-2069147-1.-.AB868138,B.JP.2010.C10-2069043-1.C10-2069043.AB868582,0.0103082
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2009.H09-201108-1.H09-201108.AB867382,0.00494802
B.JP.2008.F08-5112186-1.-.AB866817,B.JP.2010.F10-5112331-1.-.AB866962,0.0134095
38032,B.JP.-.patient_155.155.AB356203,0.0136095
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2009.H09-201114-1.H09-201114.AB867386,0.0109536
B.JP.2008.F08-5112186-1.-.AB866817,B.JP.2010.F10-5112332-1.-.AB866963,0.0144262
38032,B.JP.-.patient_158.158.AB356206,0.0125798
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2009.H09-201130-1.H09-201130.AB867400,0.00892139
B.JP.2007.C07-2069147-1.-.AB868138,B.JP.2010.C10-2069138-1.C10-2069138.AB868677,0.00883393
B.JP.2008.F08-5112186-1.-.AB866817,B.JP.2010.F10-5112342-1.-.AB866973,0.011419
38032,B.JP.-.patient_166.166.AB356213,0.010032
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2009.H09-201138-1.H09-201138.AB867409,0.0099194
B.JP.2006.06JP.GM1907KNG.GM1907KNG.AB735885,B.JP.2005.C05-51110271-1.-.AB864678,0.00246306
B.JP.2006.C06-51110394-1.-.AB864801,B.JP.2008.E08-50910841-1.E08-50910841.AB866009,0.0149903
38032,B.JP.-.patient_168.168.AB356215,0.012577
B.JP.2008.F08-5112186-1.-.AB866817,B.JP.2010.F10-5112362-1.-.AB866993,0.0129097
B.JP.2007.H07-201102-1.-.AB867297,B.JP.2010.H10-201108-1.H10-201108.AB867427,0.00744615
